ID,Nome,PopTot,Superficie,NUT
0812,SAO BRAS DE ALPORTEL,10438,153,ALGARVE
0813,SILVES,36216,680,ALGARVE
0814,TAVIRA,24882,607,ALGARVE
0815,VILA DO BISPO,5158,179,ALGARVE
0816,VILA REAL DE SANTO ANTONIO,18916,61,ALGARVE
0901,AGUIAR DA BEIRA,4786,207,REGIAO DO CENTRO
0902,ALMEIDA,5994,518,REGIAO DO CENTRO
0903,CELORICO DA BEIRA,7021,247,REGIAO DO CENTRO
0904,FIGUEIRA DE CASTELO RODRIGO,5693,509,REGIAO DO CENTRO
0905,FORNOS DE ALGODRES,4604,131,REGIAO DO CENTRO
0906,GOUVEIA,12599,301,REGIAO DO CENTRO
0907,GUARDA,39295,712,REGIAO DO CENTRO
0908,MANTEIGAS,3066,121,REGIAO DO CENTRO
0909,MEDA,4653,286,REGIAO DO CENTRO
0910,PINHEL,8667,485,REGIAO DO CENTRO
0911,SABUGAL,10876,823,REGIAO DO CENTRO
0912,SEIA,22577,436,REGIAO DO CENTRO
0913,TRANCOSO,9009,362,REGIAO DO CENTRO
0914,VILA NOVA DE FOZ COA,6569,398,REGIAO DO NORTE
1001,ALCOBACA,53883,408,REGIAO DO CENTRO
1002,ALVAIAZERE,6668,160,REGIAO DO CENTRO
1003,ANSIAO,12188,176,REGIAO DO CENTRO
1004,BATALHA,15846,103,REGIAO DO CENTRO
1005,BOMBARRAL,12558,91,REGIAO DO CENTRO
1006,CALDAS DA RAINHA,51573,256,REGIAO DO CENTRO
1007,CASTANHEIRA DE PERA,2669,67,REGIAO DO CENTRO
1008,FIGUEIRO DOS VINHOS,5652,173,REGIAO DO CENTRO
1009,LEIRIA,125082,565,REGIAO DO CENTRO
1010,MARINHA GRANDE,38466,187,REGIAO DO CENTRO
1011,NAZARE,14224,82,REGIAO DO CENTRO
1012,OBIDOS,11714,142,REGIAO DO CENTRO
1013,PEDROGAO GRANDE,3454,129,REGIAO DO CENTRO
1014,PENICHE,26585,78,REGIAO DO CENTRO
1015,POMBAL,52004,626,REGIAO DO CENTRO
1016,PORTO DE MOS,23372,262,REGIAO DO CENTRO
1101,ALENQUER,43545,304,REGIAO DO CENTRO
1102,ARRUDA DOS VINHOS,15004,78,REGIAO DO CENTRO
1103,AZAMBUJA,22402,263,ALENTEJO
1104,CADAVAL,13672,175,REGIAO DO CENTRO
1105,CASCAIS,212094,97,REGIAO DE LISBOA
1106,LISBOA,506654,100,REGIAO DE LISBOA
1107,LOURES,210401,167,REGIAO DE LISBOA
1108,LOURINHA,25672,147,REGIAO DO CENTRO
1109,MAFRA,83649,292,REGIAO DE LISBOA
1110,OEIRAS,175721,46,REGIAO DE LISBOA
1111,SINTRA,387236,319,REGIAO DE LISBOA
1112,SOBRAL DE MONTE AGRACO,10449,52,REGIAO DO CENTRO
1113,TORRES VEDRAS,78369,407,REGIAO DO CENTRO
1114,VILA FRANCA DE XIRA,141415,318,REGIAO DE LISBOA
1115,AMADORA,180833,24,REGIAO DE LISBOA
1116,ODIVELAS,158716,27,REGIAO DE LISBOA
1201,ALTER DO CHAO,3210,362,ALENTEJO
1202,ARRONCHES,2885,315,ALENTEJO
1203,AVIS,4269,606,ALENTEJO
1204,CAMPO MAIOR,7965,247,ALENTEJO
1205,CASTELO DE VIDE,2982,265,ALENTEJO
1206,CRATO,3218,398,ALENTEJO
1207,ELVAS,20852,631,ALENTEJO
1208,FRONTEIRA,2999,249,ALENTEJO
1209,GAVIAO,3397,295,ALENTEJO
1210,MARVAO,3089,155,ALENTEJO
1211,MONFORTE,3007,420,ALENTEJO
1212,NISA,6221,576,ALENTEJO
1213,PONTE DE SOR,15189,840,ALENTEJO
1214,PORTALEGRE,22493,447,ALENTEJO
1215,SOUSEL,4495,279,ALENTEJO
1301,AMARANTE,53490,301,REGIAO DO NORTE
1302,BAIAO,18971,175,REGIAO DO NORTE
1303,FELGUEIRAS,56651,116,REGIAO DO NORTE
1304,GONDOMAR,165629,132,REGIAO DO NORTE
1305,LOUSADA,46815,96,REGIAO DO NORTE
1306,MAIA,137248,83,REGIAO DO NORTE
1307,MARCO DE CANAVESES,51766,202,REGIAO DO NORTE
1308,MATOSINHOS,174068,62,REGIAO DO NORTE
1309,PACOS DE FERREIRA,56707,71,REGIAO DO NORTE
1310,PAREDES,86094,157,REGIAO DO NORTE
1311,PENAFIEL,70000,212,REGIAO DO NORTE
1312,PORTO,214936,41,REGIAO DO NORTE
1313,POVOA DE VARZIM,62443,82,REGIAO DO NORTE
1314,SANTO TIRSO,68373,137,REGIAO DO NORTE
1315,VALONGO,96239,75,REGIAO DO NORTE
1316,VILA DO CONDE,79499,149,REGIAO DO NORTE
1317,VILA NOVA DE GAIA,299879,168,REGIAO DO NORTE
1318,TROFA,38287,72,REGIAO DO NORTE
1401,ABRANTES,35608,715,REGIAO DO CENTRO
1402,ALCANENA,12911,127,REGIAO DO CENTRO
1403,ALMEIRIM,22676,222,ALENTEJO
1404,ALPIARCA,7121,95,ALENTEJO
1405,BENAVENTE,30144,521,ALENTEJO
1406,CARTAXO,23798,158,ALENTEJO
1407,CHAMUSCA,9319,746,ALENTEJO
1408,CONSTANCIA,4000,80,REGIAO DO CENTRO
1409,CORUCHE,17805,1116,ALENTEJO
1410,ENTRONCAMENTO,21125,14,REGIAO DO CENTRO
1411,FERREIRA DO ZEZERE,8023,190,REGIAO DO CENTRO
1412,GOLEGA,5411,84,ALENTEJO
1413,MACAO,6388,400,REGIAO DO CENTRO
1414,RIO MAIOR,20389,273,ALENTEJO
1415,SALVATERRA DE MAGOS,21344,244,ALENTEJO
1416,SANTAREM,57611,553,ALENTEJO
1417,SARDOAL,3759,92,REGIAO DO CENTRO
1418,TOMAR,37127,351,REGIAO DO CENTRO
1419,TORRES NOVAS,35089,270,REGIAO DO CENTRO
1420,VILA NOVA DA BARQUINHA,7392,50,REGIAO DO CENTRO
1421,OUREM,44237,417,REGIAO DO CENTRO
1501,ALCACER DO SAL,11783,1500,ALENTEJO
